,sID,FEATURE,LAT,LON,AZ1,SL2,AZ2,DIST,BEARING,BETA1,BETA2,SL1,TILT
67,68,channel,18.51405781,-134.4910876,294.0162062,5.9486246,300.1332703,6084.789433923636,323.74165221582473,29.72544601582475,23.60838191582474,4.801570226230076,-4.548989277596185
68,69,channel,18.3850218,-134.3687186,288.4748903,3.3827808,308.5524902,5498.594705058327,324.39400727373226,35.91911697373224,15.841517073732232,1.5733640054054712,-15.129244412820432
69,70,channel,18.40662096,-134.4157536,288.4748903,4.0378671,299.2673645,5647.069103670817,323.5624792815962,35.087588981596205,24.2951147815962,2.8889601490916266,-7.527434026937154
70,71,channel,18.35986147,-134.3607314,291.472431,3.337013,323.9038086,5414.208838893614,324.09164754045986,32.61921654045991,0.18783894046007135,0.02028349809658687,-28.13919611797534
71,72,channel,18.40123007,-134.5342012,279.0727401,4.8698711,275.9093323,5867.765517421875,320.4204900064407,41.34774990644068,44.51115770644064,5.168622325775838,1.582455987962085
72,73,channel,17.29358011,-133.9332033,227.6900402,1.4192009,244.5278625,1945.8276318461606,293.3033754962895,65.61333529628948,48.77551299628949,1.171955722501319,-5.378579348918251
73,74,channel,17.25984533,-133.9645693,227.6900402,2.0902359,240.231308,1999.2351397302223,289.12180233532547,61.43176213532544,48.89049433532545,1.7931206695379314,-4.294806941908227
74,75,channel,16.55544241,-132.4252303,153.810327,9.4213648,161.9515839,3563.611704741323,119.264253367599,34.546073632401,42.68733053240101,11.28650382641505,4.5809407032700555
75,76,channel,16.51329338,-132.3993785,153.810327,7.4295197,156.3688049,3707.963284873804,120.56528262183659,33.24504437816342,35.80352227816339,7.931160093761978,1.5954819581163022
76,77,channel,16.47230126,-132.3735807,153.810327,6.7571287,155.2776337,3851.8720332632556,121.72003496689261,32.09029203310739,33.55759873310738,7.032200365974356,0.9530208953814174
77,78,channel,16.58160735,-132.56268,159.6990006,5.9257083,179.5322113,3132.97921671787,121.80516630653119,37.89383429346882,57.72704499346881,8.17051567904588,8.65672840118091
78,79,channel,16.53440578,-132.554124,159.6990006,7.960897,169.1754303,3243.417242548689,123.95519304596976,35.74380755403024,45.220237254030216,9.688354541153327,5.0760312630731015
79,80,channel,16.49049707,-132.5334277,159.6990006,8.712821,145.3712311,3383.70570812145,125.41810086391973,34.28089973608027,19.953130236080256,5.265843305020463,-10.548138240343537
80,81,channel,16.44851349,-132.5086196,159.6990006,7.7111769,157.0283813,3532.868849514124,126.55004369341957,33.14895690658044,30.47833760658042,7.149637324787556,-1.7759169627952751
81,82,channel,16.40408979,-132.4886961,159.6990006,8.8517246,158.5444641,3675.7860920887165,127.84226699259501,31.856733607404983,30.702197107404967,8.5607004437283,-0.7772010857254905
82,83,channel,16.35870388,-132.4713672,159.6990006,6.1728358,164.0892487,3815.93570806148,129.1545870356388,30.544413564361214,34.934661664361215,6.959144526622929,2.8573057088729357
83,84,channel,16.5935792,-132.4985675,162.0480051,6.1356592,162.3172607,3292.046367840181,119.3069442846265,42.741060815373515,43.010316415373495,6.166913912471163,0.13487691729296358
84,85,channel,16.5471904,-132.4808139,162.0480051,9.1610317,159.1966858,3421.3014179819666,121.13900954497484,40.90899555502519,38.057676255025186,8.619550237856597,-1.567224945927883
85,86,channel,16.41462004,-132.5163997,167.7892043,9.0116844,160.6157837,3582.672455904588,128.26814022078457,39.52106407921542,32.347643479215435,7.567836265231051,-4.321887162047034
